Account: ID;Rate Plan Charge: ID;Invoice Item: Charge Amount;Invoice Item: Processing Type;Invoice Item: Service Start Date;Invoice Item: Service End Date;Invoice Item: Charge Date;Invoice Item: ID;Subscription: SubscriptionId;Invoice Item: AppliedToInvoiceItemId;Invoice Item: Quantity;Invoice Item: UOM;Invoice Item: ChargeType;SubscriptionNumber;Rate Plan Charge: Charge Number
2c92c0f863f7f04801641c85fc741004;2c92c0f965f2121e0165f6cbb2193fd4;-15;Discount;31/03/2019;29/04/2019;11/11/2018 01:01;2ffffd1d961f47a988e8ef01ac77a495;2c92c0f965f2121e0165f6cbb1e33fcb;bedbd226424c40fb869ed6c7a0ff5f43;1;;Recurring;A-S00017408;C-00055871
2c92c0f863f7f04801641c85fc741004;2c92c0f965f2121e0165f6cbb2193fd4;-15;Discount;30/04/2019;30/05/2019;11/11/2018 01:01;fb0ec0ca6672442bba120480853ffc23;2c92c0f965f2121e0165f6cbb1e33fcb;c43c171c62634e92ba2dedcce34ea8e6;1;;Recurring;A-S00017408;C-00055871
2c92c0f9626c87e001626e7566ef619c;2c92c0856680f65f0166813f52402f2d;2500;Charge;01/03/2019;31/03/2019;11/11/2018 01:01;46eb70e036cb48829651c8a6f9fe48fc;2c92c0856680f65f0166813f520a2f1f;;1;;Recurring;A-S00017524;C-00056090
2c92c0f9626c87e001626e7566ef619c;2c92c0856680f65f0166813f52402f2d;2500;Charge;01/04/2019;30/04/2019;11/11/2018 01:01;9eb2343fb68840cb9b6a4d26d6f25173;2c92c0856680f65f0166813f520a2f1f;;1;;Recurring;A-S00017524;C-00056090
2c92c0f9626c87e001626e7566ef619c;2c92c0856680f65f0166813f52402f2d;2500;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;58f9c26b58c246b89cf761f852f303c3;2c92c0856680f65f0166813f520a2f1f;;1;;Recurring;A-S00017524;C-00056090
2c92c0f9626c87e001626e7566ef619c;2c92c08665d271ef0165e96df2cb0850;0;Charge;31/03/2019;29/04/2019;11/11/2018 01:01;30bdeffbea9544e2b4a19db6fbb5b373;2c92c08665d271ef0165e96df2bd084b;;0;MAP;Usage;A-S00016839;C-00054737
2c92c0f9626c87e001626e7566ef619c;2c92c086668a9300016690b0dae3008f;2500;Charge;01/03/2019;31/03/2019;11/11/2018 01:01;434413e347fa41c78dd3c35891ad6147;2c92c086668a9300016690b0daa4006b;;1;;Recurring;A-S00017525;C-00056092
2c92c0f9626c87e001626e7566ef619c;2c92c086668a9300016690b0dae3008f;2500;Charge;01/04/2019;30/04/2019;11/11/2018 01:01;6f7a6137d44144c39991be511bf7e665;2c92c086668a9300016690b0daa4006b;;1;;Recurring;A-S00017525;C-00056092
2c92c0f9626c87e001626e7566ef619c;2c92c086668a9300016690b0dae3008f;2500;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;ce26799fc3964967bcf5ed3993a0547c;2c92c086668a9300016690b0daa4006b;;1;;Recurring;A-S00017525;C-00056092
2c92c0f9626c87e001626e7566ef619c;2c92c08666a9a7f50166abd7d4702bf8;2500;Charge;01/03/2019;31/03/2019;11/11/2018 01:01;ea3952f31dff4ede85af298569f3d088;2c92c08666a9a7f50166abd7d3912bf0;;1;;Recurring;A-S00017527;C-00056096
2c92c0f9626c87e001626e7566ef619c;2c92c08666a9a7f50166abd7d4702bf8;2500;Charge;01/04/2019;30/04/2019;11/11/2018 01:01;59208e4b41954bf0821b66482224cef6;2c92c08666a9a7f50166abd7d3912bf0;;1;;Recurring;A-S00017527;C-00056096
2c92c0f9626c87e001626e7566ef619c;2c92c08666a9a7f50166abd7d4702bf8;2500;Charge;01/05/2019;31/05/2019;11/11/2018 01:01;1c90fc8e9f934dcaaf87e750bacc5176;2c92c08666a9a7f50166abd7d3912bf0;;1;;Recurring;A-S00017527;C-00056096
2c92c0f9626c87e001626e7566ef619c;2c92c09a65d271a10165e9494e304211;0;Charge;31/03/2019;29/04/2019;11/11/2018 01:01;4a442f9ba02e4c4d9d5bf480b15f3b26;2c92c09a65d271a10165e9494e15420c;;0;MAP;Usage;A-S00016866;C-00054795
2c92c0f9626c87e001626e7566ef619c;2c92c0f862fa7db60162fac64f70771f;0;Charge;31/03/2019;29/04/2019;11/11/2018 01:01;a9aec01db002437b873df3cd29b689e6;2c92c0f862fa7db60162fac64f3f7719;;0;MAP;Usage;A-S00016893;C-00054862
